volledige naam,QID,facebook,social media followers,image,commons,linkedin,twitter,gemeente,functie,partij
Siegfried Bracke,Q2064794,siegfried.bracke.7,47616,Siegfried bracke 2014.jpg,Siegfried Bracke,,sthbracke,Gent,,N-VA
Simone Simons,,,,,,,,Scherpenheuvel-Zichem,,CD&V
Simon Lagrange,Q2944200,,,Simon Lagrange.jpg,Simon Lagrange,,,Zulte,Burgemeester,Open Zulte
Simonne Janssens-Vanoppen,Q20855621,,,,,,,Heusden-Zolder,,    N-VA
Sofie Van Dijck,,,,,,,,Ranst,,
Sofie Van Landeghem,,,,,,,,Sint-Gillis-Waas,Lid van de Raad voor Maatschappelijk Welzijn,
Sonja De Leeuw,,,,,,,,Liedekerke,,N-VA
Sonja De Meyer,,,,,,,,Merksem,,CD&V
Sonja van der Velden,,,,,,,,Wommelgem,Lid van de Raad voor Maatschappelijk Welzijn,
Sophie Gabriëls,,,,,,,,,,GBL
Sophie Rohonyi,,,,,,,,Sint-Genesius-Rode,Gemeenteraadslid,IC-GB
Sophie Vandenbussche,,,,,,,,Langemark-Poelkapelle,Lid van het Bijzonder Comité voor de Sociale Dienst,CD&V
Sophie Wilmès,Q18434995,wilmes.sophie,78451,Sophie Wilmès crop.jpg,Sophie Wilmès,,sophie_wilmes,Sint-Genesius-Rode,,IC-GB
Sylvie Claeys,,,,,,,,Deinze (voor fusie),,N-VA
Sylvie De Bie,,,,,,,,Ronse,Gemeenteraadslid,
Valerie Michel,,,,,,,,Schilde,,      N-VA
Valerie Van Peel,Q17149643,,16621,,,,valerievanpeel,Kapellen,,N-VA
Vanessa Van Linden,,,,,,,,Niel,Gemeenteraadslid,SAMEN
Veerle Baeyens,Q15883330,,,Veerle baeyens-1549812754.jpg,Veerle Baeyens,,,Haaltert,Burgemeester,N-VA
Veerle Declercq,Q20857814,,,,,,,Ingelmunster,Lid van het Bijzonder Comité voor de Sociale Dienst,Vooruit
Veerle Dejaeghere,Q2422124,,,20091122 Veerle Dejaeghere Warandeloop 2009.JPG,Veerle Dejaeghere,,,Ardooie,,samenplus
Veerle Geerinckx,Q106620822,veerle.geerinckx.7,,,,veerle-geerinckx-802a3447,,Zemst,Burgemeester,N-VA
Veerle Heeren,Q1809481,,,Veerle Heeren 2.jpg,Veerle Heeren,,,Sint-Truiden,Burgemeester,    CD&V
Veerle Janssen,,,,,,,,Maasmechelen,Gemeenteraadslid,N-VA
Veerle Willems,,,,,,,,Evergem,Gemeenteraadslid,
Vera De Loose,,,,,,,,Wachtebeke,,    ANDERS
Veronique Bourgeois,,,,,,,,Kluisbergen,,
Véronique Caprasse,Q3564292,,,,,,,Kraainem,Burgemeester,KRAAINEM-UNIE
Véronique Jans,,,,,,,,Bilzen,,  BETER BILZEN
Véronique Janssens,,,,,,,,Vilvoorde,,UF
Véronique Mussche,,,,,,,,Lovendegem,,NVA
Vicky De Meyer,,,,,,,,Laarne,Lid van het Bijzonder Comité voor de Sociale Dienst,Open VLD
Wannes Van de Velde,,,,,,,,Zoersel,Lid van het Bijzonder Comité voor de Sociale Dienst,N-VA
Wendy Bosmans,Q3238478,,,,,,,Meeuwen-Gruitrode,,CD&V
Wendy Weckhuysen,Q26132916,,,,,,,Rumst,Burgemeester,CD&V - 3D
Werner Bruggeman,,,,,,,,Zomergem,Lid van de Raad voor Maatschappelijk Welzijn,
Werner Coudyzer,,,,,,,,Jabbeke,,    N-VA
Werner De Gres,,,,,,,,Wilrijk,Districtsraadslid,VLAAMS BELANG
Werner Janssen,Q17428394,,,,,,,Beringen,,N-VA
Werner Somers,,,,,,,,Ninove,Gemeenteraadslid,
Wilfried Vandaele,Q3289954,wilfried.vandaele.7,2757,Wilfried Vandaele - 2019.jpg,,wilfried-vandaele-71180126,WilfriedVdaele,De Haan,Burgemeester,Open & N-VA
Willem De Klerck,,,,,,,,Sint-Niklaas,,sp.a
Willem Jorissen,,,,,,,,Mechelen,,N-VA
Willem Pauwels,,,,,,,,Sint-Katelijne-Waver,Gemeenteraadslid,N-VA
Willems Rudolf,,,,,,,,Zandhoven,,CD&V
Willem van Leeuwen,,,,,,,,Keerbergen,Gemeenteraadslid,KEERBERGEN2020
Willem Wevers,,,,,,,,Kontich,,N-VA
William De Blander,,,,,,,,Asse,Lid van de Raad voor Maatschappelijk Welzijn,
William Engels,,,,,,,,Opwijk,,    Open Vld
William Janssens,,,,,,,,Temse,Gemeenteraadslid,
Willy Cornelis,,,,,,,,Boortmeerbeek,,sp.a
Willy De Vliegher,Q14519840,,,,,,,Wachtebeke,Gemeenteraadslid,
Willy De Waele,Q3569153,,,,,,,Lennik,Gemeenteraadslid,Open VLD
Willy Kuijpers,Q1903976,,,,,,,Herent,Gemeenteraadslid,N-VA
Willy Lauwers,,,,,,,,Sint-Gillis-Waas,,
Willy Lemaire,,,,,,,,Ieper,,
Willy Michiels,Q21642658,,,,,,,Asse,Burgemeester,Open Vld
Willy Van Camp,,,,,,,,Schoten,Gemeenteraadslid,N-VA
Willy Van den Bergh,,,,,,,,Tessenderlo,Gemeenteraadslid,VLAAMS BELANG
Willy Vermeersch,,,,,,,,Wingene,,CD&V
Wim Vandenberghe,,,,,,,,Jabbeke,,    CD&V
Wim van Dooren,,,,,,,,Hamont-Achel,Lid van de Raad voor Maatschappelijk Welzijn,PRO Hamont-Achel
Wim Vanhaverbeke,,,,,,,,Kampenhout,,Groen
Wim Van Osselaer,,,,,,,,Antwerpen,Gemeenteraadslid,VLAAMS BELANG
Wim Verheyden,Q65259336,,,,,,,Bornem,,Vlaams Belang
Wim Vermeulen,,,,,,,,Deerlijk,,Open VLD
Yasmine Kherbache,Q2183903,,,"Yasmine Kherbache, wearing a black suit jacket, with a pin of the logo of the city of Antwerp.jpg",Yasmine Kherbache,,,Antwerpen,,sp.a
Yasmin Fischer,,,,,,,,Huldenberg,,OPEN VLD
Yoleen Van Camp,Q17191473,,4993,YoleenVC by MVC 14-03-2014.JPG,,,YoleenVanCamp,Kasterlee,,N-VA
Yves De Bosscher,Q109332472,,,,,,,Zwevegem,,Groen
Yves Deswaene,Q2394595,,,,,,,Lochristi,Burgemeester,    Open Vld
Yves Goemaere,,,,,,,,Zwevegem,Gemeenteraadslid,
Yves Grouwels,,,,,,,,Genk,Gemeenteraadslid,PROgenk
Yves Vercruysse,Q1984413,,,,,,,Ingelmunster,Gemeenteraadslid,
Zeger Debyser,,,,,,,,Leuven,,N-VA

